Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range,Job Title Clean,Required Skills Clean
Software Engineer,Technology,Bachelor's in Computer Science|Bachelor's in Engineering,2,Python|Java|C++|Git|Software Design|Problem Solving,80-150K,software engineer,"['python', 'java', 'c++', 'git', 'software design', 'problem solving']"
Full Stack Developer,Technology,Diploma in IT|Bachelor's in Computer Science,2,JavaScript|React|Node.js|HTML/CSS|Database|Git,75-140K,full stack developer,"['javascript', 'react', 'node.js', 'html/css', 'database', 'git']"
Frontend Developer,Technology,Diploma in IT|Bachelor's in Computer Science,1,JavaScript|React|Vue.js|CSS|HTML|UI/UX Design,70-130K,frontend developer,"['javascript', 'react', 'vue.js', 'css', 'html', 'ui/ux design']"
Backend Developer,Technology,Bachelor's in Computer Science,2,Python|Java|Node.js|Database Design|API Development|SQL,75-135K,backend developer,"['python', 'java', 'node.js', 'database design', 'api development', 'sql']"
DevOps Engineer,Technology,Bachelor's in Computer Science|IT Certification,3,Docker|Kubernetes|AWS|Linux|CI/CD|Scripting,85-150K,devops engineer,"['docker', 'kubernetes', 'aws', 'linux', 'ci/cd', 'scripting']"
Cloud Architect,Technology,Bachelor's in Computer Science|Cloud Certification,5,AWS|Azure|GCP|System Design|Networking|Security,120-200K,cloud architect,"['aws', 'azure', 'gcp', 'system design', 'networking', 'security']"
Data Scientist,Technology,Master's in Data Science|Bachelor's in Mathematics,2,Python|Machine Learning|Statistics|TensorFlow|SQL|Data Analysis,90-160K,data scientist,"['python', 'machine learning', 'statistics', 'tensorflow', 'sql', 'data analysis']"
Machine Learning Engineer,Technology,Master's in Computer Science|Master's in AI,3,Python|TensorFlow|PyTorch|Deep Learning|Statistics|Research,100-180K,machine learning engineer,"['python', 'tensorflow', 'pytorch', 'deep learning', 'statistics', 'research']"
Data Engineer,Technology,Bachelor's in Computer Science,2,Python|Spark|Hadoop|SQL|Data Warehousing|ETL,85-155K,data engineer,"['python', 'spark', 'hadoop', 'sql', 'data warehousing', 'etl']"
Database Administrator,Technology,Bachelor's in IT|IT Certification,2,SQL|MongoDB|Database Optimization|Linux|Backup Recovery|Security,70-130K,database administrator,"['sql', 'mongodb', 'database optimization', 'linux', 'backup recovery', 'security']"
Systems Administrator,Technology,Bachelor's in IT|IT Certification,2,Windows Server|Linux|Networking|Security|Active Directory|Troubleshooting,65-125K,systems administrator,"['windows server', 'linux', 'networking', 'security', 'active directory', 'troubleshooting']"
Network Engineer,Technology,Bachelor's in IT|Networking Certification,2,Cisco|Networking|TCP/IP|Security|Routing|Configuration,70-130K,network engineer,"['cisco', 'networking', 'tcp/ip', 'security', 'routing', 'configuration']"
Cybersecurity Specialist,Technology,Bachelor's in Cybersecurity|Security Certification,3,Penetration Testing|Security Protocols|Networking|Risk Analysis|Encryption|Firewalls,85-150K,cybersecurity specialist,"['penetration testing', 'security protocols', 'networking', 'risk analysis', 'encryption', 'firewalls']"
Security Engineer,Technology,Bachelor's in Computer Science|Security Certification,3,Security Architecture|Encryption|Networking|Linux|Risk Management|Compliance,90-160K,security engineer,"['security architecture', 'encryption', 'networking', 'linux', 'risk management', 'compliance']"
Mobile Developer Android,Technology,Bachelor's in Computer Science,2,Java|Kotlin|Android SDK|XML|REST API|Mobile Design,70-130K,mobile developer android,"['java', 'kotlin', 'android sdk', 'xml', 'rest api', 'mobile design']"
Mobile Developer iOS,Technology,Bachelor's in Computer Science,2,Swift|Objective-C|iOS SDK|Xcode|REST API|Mobile Design,75-135K,mobile developer ios,"['swift', 'objective-c', 'ios sdk', 'xcode', 'rest api', 'mobile design']"
Game Developer,Technology,Bachelor's in Game Development|Bachelor's in Computer Science,2,Unity|Unreal Engine|C#|C++|Game Physics|Graphics Programming,65-130K,game developer,"['unity', 'unreal engine', 'c#', 'c++', 'game physics', 'graphics programming']"
QA Engineer,Technology,Bachelor's in IT|QA Certification,1,Test Automation|Selenium|Manual Testing|Bug Tracking|SQL|API Testing,50-100K,qa engineer,"['test automation', 'selenium', 'manual testing', 'bug tracking', 'sql', 'api testing']"
Software Architect,Technology,Master's in Computer Science,7,System Design|Architecture Patterns|Microservices|Scalability|Leadership|Multiple Languages,130-200K,software architect,"['system design', 'architecture patterns', 'microservices', 'scalability', 'leadership', 'multiple languages']"
Technical Lead,Technology,Bachelor's in Computer Science,5,Leadership|Code Review|Mentoring|Architecture|Problem Solving|Communication,100-170K,technical lead,"['leadership', 'code review', 'mentoring', 'architecture', 'problem solving', 'communication']"
